Timestamp_min,Reactor_Temp_C,Jacket_Flow_Rate_L_min,Pressure_atm,Reactant_A_Conc_mol_L,Product_B_Conc_mol_L,Reactor_Run_ID
0,85,1015,3.2,2.5,0,1
1,84.5,1007,3.18,2.49,0.01,1
2,85,1012,3.22,2.48,0.02,1
3,85.5,1019,3.16,2.47,0.03,1
4,84,1002,3.21,2.46,0.04,1
5,85,1011,3.19,2.45,0.05,1
6,85.5,1018,3.23,2.44,0.06,1
7,84,999,3.17,2.43,0.07,1
8,85,1013,3.2,2.42,0.08,1
9,85.5,1017,3.16,2.41,0.09,1
10,84,1004,3.22,2.4,0.1,1
11,85,1015,3.18,2.39,0.11,1
12,85.5,1016,3.24,2.38,0.12,1
13,84,1001,3.17,2.37,0.13,1
14,85,1013,3.2,2.36,0.14,1
15,85.5,1018,3.19,2.35,0.15,1
16,84,998,3.22,2.34,0.16,1
17,85,1011,3.18,2.33,0.17,1
18,85.5,1014,3.24,2.32,0.18,1
19,84,1006,3.16,2.31,0.19,1
20,85,1012,3.21,2.3,0.2,1
21,85.5,1017,3.19,2.29,0.21,1
22,84,1003,3.23,2.28,0.22,1
23,85,1016,3.17,2.27,0.23,1
24,85.5,1019,3.2,2.26,0.24,1
25,84,1007,3.18,2.25,0.25,1
26,85,1014,3.22,2.24,0.26,1
27,85.5,1018,3.19,2.23,0.27,1
28,84,1002,3.24,2.22,0.28,1
29,85,1011,3.16,2.21,0.29,1
30,85.5,1017,3.21,2.2,0.3,1
31,84,1005,3.18,2.19,0.31,1
32,85,1013,3.23,2.18,0.32,1
33,85.5,1016,3.17,2.17,0.33,1
34,84,1009,3.2,2.16,0.34,1
35,85,1012,3.16,2.15,0.35,1
36,85.5,1015,3.22,2.14,0.36,1
37,84,1007,3.19,2.13,0.37,1
38,85,1014,3.24,2.12,0.38,1
39,85.5,1018,3.17,2.11,0.39,1
40,84,1003,3.21,2.1,0.4,1
41,85,1011,3.18,2.09,0.41,1
42,85.5,1017,3.25,2.08,0.42,1
43,84,1006,3.16,2.07,0.43,1
44,85,1013,3.22,2.06,0.44,1
45,85.5,1019,3.19,2.05,0.45,1
46,84,1002,3.23,2.04,0.46,1
47,85,1015,3.17,2.03,0.47,1
48,85.5,1018,3.2,2.02,0.48,1
49,84,1008,3.16,2.01,0.49,1
50,85,1015,3.2,2.01,0.49,1
51,85.5,1010,3.18,2,0.5,1
52,86,1018,3.19,1.99,0.51,1
53,85.5,1007,3.21,1.98,0.52,1
54,86,1012,3.17,1.97,0.53,1
55,85,1019,3.16,1.96,0.54,1
56,85.5,1009,3.22,1.95,0.55,1
57,86,1014,3.19,1.94,0.56,1
58,85.5,1011,3.2,1.93,0.57,1
59,86,1006,3.18,1.92,0.58,1
60,85,1013,3.17,1.91,0.59,1
61,85.5,1008,3.21,1.9,0.6,1
62,86,1015,3.19,1.89,0.61,1
63,85.5,1010,3.2,1.88,0.62,1
64,86,1007,3.18,1.87,0.63,1
65,85,1012,3.17,1.86,0.64,1
66,85.5,1014,3.21,1.85,0.65,1
67,86,1009,3.19,1.84,0.66,1
68,85.5,1016,3.2,1.83,0.67,1
69,86,1008,3.18,1.82,0.68,1
70,85,1013,3.17,1.81,0.69,1
71,85.5,1011,3.21,1.8,0.7,1
72,86,1006,3.19,1.79,0.71,1
73,85.5,1015,3.2,1.78,0.72,1
74,86,1007,3.18,1.77,0.73,1
75,85,1012,3.17,1.76,0.74,1
76,85.5,1014,3.21,1.75,0.75,1
77,86,1009,3.19,1.74,0.76,1
78,85.5,1016,3.2,1.73,0.77,1
79,86,1008,3.18,1.72,0.78,1
80,85,1013,3.17,1.71,0.79,1
81,85.5,1011,3.21,1.7,0.8,1
82,86,1006,3.19,1.69,0.81,1
83,85.5,1015,3.2,1.68,0.82,1
84,86,1007,3.18,1.67,0.83,1
85,85,1012,3.17,1.66,0.84,1
86,85.5,1014,3.21,1.65,0.85,1
87,86,1009,3.19,1.64,0.86,1
88,85.5,1016,3.2,1.63,0.87,1
89,86,1008,3.18,1.62,0.88,1
90,85,1013,3.17,1.61,0.89,1
91,85.5,1011,3.21,1.6,0.9,1
92,86,1006,3.19,1.59,0.91,1
93,85.5,1015,3.2,1.58,0.92,1
94,86,1007,3.18,1.57,0.93,1
95,85,1012,3.17,1.56,0.94,1
96,85.5,1014,3.21,1.55,0.95,1
97,86,1009,3.19,1.54,0.96,1
98,85.5,1016,3.2,1.53,0.97,1
99,86,1008,3.18,1.52,0.98,1
100,85,1015,3.2,1.52,0.98,1
101,85.5,1007,3.18,1.47,1.03,1
102,86,1012,3.19,1.42,1.08,1
103,85.5,1019,3.21,1.37,1.13,1
104,86,1003,3.17,1.32,1.18,1
105,85.5,1016,3.16,1.27,1.23,1
106,86,1009,3.2,1.22,1.28,1
107,85.5,1012,3.18,1.17,1.33,1
108,86,1015,3.22,1.12,1.38,1
109,85.5,1007,3.19,1.07,1.43,1
110,86,1012,3.21,1.02,1.48,1
111,85.5,1009,3.17,0.97,1.53,1
112,86,1016,3.2,0.92,1.57,1
113,85.5,1003,3.18,0.87,1.63,1
114,86,1012,3.22,0.82,1.68,1
115,85.5,1007,3.19,0.77,1.73,1
116,86,1015,3.21,0.72,1.77,1
117,85.5,1009,3.17,0.67,1.83,1
118,86,1012,3.2,0.62,1.88,1
119,85.5,1003,3.18,0.57,1.93,1
120,86,1016,3.22,0.52,1.97,1
121,85.5,1007,3.19,0.47,2.03,1
122,86,1015,3.21,0.42,2.07,1
123,85.5,1009,3.17,0.37,2.13,1
124,86,1012,3.2,0.32,2.17,1
125,85.5,1003,3.18,0.27,2.23,1
126,86,1016,3.22,0.22,2.27,1
127,85.5,1007,3.19,0.17,2.33,1
128,86,1015,3.21,0.12,2.37,1
129,85.5,1009,3.17,0.07,2.43,1
130,86,1012,3.2,0.02,2.47,1
131,85.5,1003,3.18,0,2.5,1
132,86,1016,3.22,0,2.5,1
133,85.5,1007,3.19,0,2.5,1
134,86,1015,3.21,0,2.5,1
135,85.5,1009,3.17,0,2.5,1
136,86,1012,3.2,0,2.5,1
137,85.5,1003,3.18,0,2.5,1
138,86,1016,3.22,0,2.5,1
139,85.5,1007,3.19,0,2.5,1
140,86,1015,3.21,0,2.5,1
141,85.5,1009,3.17,0,2.5,1
142,86,1012,3.2,0,2.5,1
143,85.5,1003,3.18,0,2.5,1
144,86,1016,3.22,0,2.5,1
145,85.5,1007,3.19,0,2.5,1
146,86,1015,3.21,0,2.5,1
147,85.5,1009,3.17,0,2.5,1
148,86,1012,3.2,0,2.5,1
149,85.5,1003,3.18,0,2.5,1
150,85,1015,3.2,2.5,0,2
151,84.5,1011,3.18,2.49,0.01,2
152,85,1016,3.22,2.48,0.02,2
153,84.8,1007,3.19,2.47,0.03,2
154,85.2,1019,3.21,2.46,0.04,2
155,84.9,1009,3.17,2.45,0.05,2
156,85.3,1014,3.23,2.44,0.06,2
157,84.6,1010,3.19,2.43,0.07,2
158,85.1,1017,3.2,2.42,0.08,2
159,84.7,1003,3.16,2.41,0.09,2
160,85.4,1012,3.24,2.4,0.1,2
161,84.8,1006,3.18,2.39,0.11,2
162,85.5,1019,3.22,2.38,0.12,2
163,84.9,1000,3.15,2.37,0.13,2
164,85.6,1016,3.25,2.36,0.14,2
165,85,1004,3.17,2.35,0.15,2
166,85.7,1013,3.28,2.34,0.16,2
167,85.1,1007,3.19,2.33,0.17,2
168,85.8,1019,3.3,2.32,0.18,2
169,85.2,1001,3.21,2.31,0.19,2
170,85.9,1017,3.32,2.3,0.2,2
171,85.3,1005,3.23,2.29,0.21,2
172,86,1014,3.33,2.28,0.22,2
173,85.4,1008,3.24,2.27,0.23,2
174,86.1,1011,3.34,2.26,0.24,2
175,85.5,1002,3.25,2.25,0.25,2
176,86.2,1018,3.35,2.24,0.26,2
177,85.6,1006,3.26,2.23,0.27,2
178,86.3,1015,3.36,2.22,0.28,2
179,85.7,1009,3.27,2.21,0.29,2
180,86.4,1012,3.37,2.2,0.3,2
181,85.8,1003,3.28,2.19,0.31,2
182,86.5,1019,3.38,2.18,0.32,2
183,85.9,1007,3.29,2.17,0.33,2
184,86.6,1016,3.39,2.16,0.34,2
185,86,1000,3.3,2.15,0.35,2
186,86.7,1013,3.4,2.14,0.36,2
187,86.1,1004,3.31,2.13,0.37,2
188,86.8,1010,3.41,2.12,0.38,2
189,86.2,1007,3.32,2.11,0.39,2
190,86.9,1017,3.42,2.1,0.4,2
191,86.3,1001,3.33,2.09,0.41,2
192,87,1014,3.43,2.08,0.42,2
193,86.4,1005,3.34,2.07,0.43,2
194,87.1,1011,3.44,2.06,0.44,2
195,86.5,1008,3.35,2.05,0.45,2
196,87.2,1018,3.45,2.04,0.46,2
197,86.6,1002,3.36,2.03,0.47,2
198,87.3,1015,3.46,2.02,0.48,2
199,86.7,1006,3.37,2.01,0.49,2
200,85,1015,3.2,2.01,0.49,2
201,85.5,1011,3.18,2,0.5,2
202,86,1017,3.19,1.99,0.51,2
203,86.5,1013,3.21,1.98,0.52,2
204,87,1019,3.22,1.97,0.53,2
205,87.5,1016,3.2,1.96,0.54,2
206,88,1012,3.18,1.95,0.55,2
207,88.5,1018,3.19,1.94,0.56,2
208,89,1015,3.21,1.93,0.57,2
209,89.5,1011,3.22,1.92,0.58,2
210,90,1017,3.2,1.91,0.59,2
211,90.5,1014,3.18,1.9,0.6,2
212,91,1019,3.19,1.89,0.61,2
213,91.5,1016,3.21,1.88,0.62,2
214,92,1012,3.22,1.87,0.63,2
215,92.5,1018,3.2,1.86,0.64,2
216,93,1015,3.18,1.85,0.65,2
217,93.5,1011,3.19,1.84,0.66,2
218,94,1017,3.21,1.83,0.67,2
219,94.5,1014,3.22,1.82,0.68,2
220,95,1019,3.2,1.81,0.69,2
221,95.5,1016,3.18,1.8,0.7,2
222,96,1012,3.19,1.79,0.71,2
223,96.5,1018,3.21,1.78,0.72,2
224,97,1015,3.22,1.77,0.73,2
225,97.5,1011,3.2,1.76,0.74,2
226,98,1017,3.18,1.75,0.75,2
227,98.5,1014,3.19,1.74,0.76,2
228,99,1019,3.21,1.73,0.77,2
229,100,1016,3.22,1.72,0.78,2
230,100.5,1012,3.2,1.71,0.79,2
231,101,1018,3.18,1.7,0.8,2
232,101.5,1015,3.19,1.69,0.81,2
233,102,1011,3.21,1.68,0.82,2
234,102.5,1017,3.22,1.67,0.83,2
235,103,1014,3.2,1.66,0.84,2
236,103.5,1019,3.18,1.65,0.85,2
237,104,1016,3.19,1.64,0.86,2
238,104.5,1012,3.21,1.63,0.87,2
239,105,1018,3.22,1.62,0.88,2
240,105.5,1015,3.2,1.61,0.89,2
241,106,1011,3.18,1.6,0.9,2
242,106.5,1017,3.19,1.59,0.91,2
243,107,1014,3.21,1.58,0.92,2
244,107.5,1019,3.22,1.57,0.93,2
245,108,1016,3.2,1.56,0.94,2
246,108.5,1012,3.18,1.55,0.95,2
247,109,1018,3.19,1.54,0.96,2
248,109.5,1015,3.21,1.53,0.97,2
249,110,1011,3.22,1.52,0.98,2
